num_units1;num_units2;dropout;optimizer;Accuracy 
128.00;128.00;0.10000;adam;0.93437
64.00;128.00;0.10000;adam;0.93125
256.00;128.00;0.10000;adam;0.92500
128.00;256.00;0.10000;adam;0.92500
256.00;256.00;0.50000;adam;0.92500
128.00;64.000;0.10000;adam;0.92188
128.00;32.000;0.10000;adam;0.92188
256.00;64.000;0.50000;adam;0.92188
256.00;256.00;0.10000;adam;0.91875
128.00;256.00;0.50000;adam;0.91875
256.00;64.000;0.10000;adam;0.91562
64.000;64.000;0.10000;adam;0.91250
256.00;128.00;0.50000;adam;0.91250
64.000;256.00;0.10000;adam;0.90938
256.00;32.000;0.10000;adam;0.90938
64.000;32.000;0.10000;adam;0.90625
128.00;128.00;0.50000;adam;0.90312
256.00;32.000;0.50000;adam;0.90312
32.000;256.00;0.10000;adam;0.89688
128.00;32.000;0.50000;adam;0.89063
128.00;64.000;0.50000;adam;0.89063
32.000;128.00;0.10000;adam;0.88125
64.000;256.00;0.50000;adam;0.85938
32.000;64.000;0.10000;adam;0.85625
64.000;128.00;0.50000;adam;0.83750
64.000;64.000;0.50000;adam;0.81875
64.000;32.000;0.50000;adam;0.79062
32.000;128.00;0.50000;adam;0.77500
32.000;256.00;0.50000;adam;0.73750
32.000;64.000;0.50000;adam;0.70625
32.000;32.000;0.50000;adam;0.68750
256.00;256.00;0.10000;sgd;0.36250
256.00;256.00;0.50000;sgd;0.28125
256.00;128.00;0.10000;sgd;0.26563
256.00;128.00;0.50000;sgd;0.22500
128.00;256.00;0.10000;sgd;0.22187
256.00;64.000;0.10000;sgd;0.20937
64.000;256.00;0.10000;sgd;0.20313
128.00;128.00;0.10000;sgd;0.20313
128.00;256.00;0.50000;sgd;0.20313
128.00;64.000;0.10000;sgd;0.20000
64.000;128.00;0.10000;sgd;0.18750
256.00;32.000;0.10000;sgd;0.18438
256.00;64.000;0.50000;sgd;0.18438
128.00;128.00;0.50000;sgd;0.18125
128.00;64.000;0.50000;sgd;0.17812
64.000;64.000;0.10000;sgd;0.16875
64.000;256.00;0.50000;sgd;0.16875
64.000;128.00;0.50000;sgd;0.16875
256.00;32.000;0.50000;sgd;0.16875
64.000;32.000;0.50000;sgd;0.16563
64.000;32.000;0.10000;sgd;0.16563
